City,Lat,Lng,Temperature,Humidity,Cloudiness,Windspeed,Country,Date
sao filipe,14.8961,-24.4956,75.43,65,100,8.25,CV,1669857695
qaanaaq,77.484,-69.3632,-22.77,80,15,3.47,GL,1669857696
dikson,73.5069,80.5464,22.5,95,100,12.3,RU,1669857696
qui nhon,13.7667,109.2333,78.78,85,79,12.35,VN,1669857697
cascioarele,44.1261,26.4697,36.54,61,100,13.06,RO,1669857697
tacuarembo,-31.7333,-55.9833,75.78,55,0,11.25,UY,1669857697
takoradi,4.8845,-1.7554,77.99,86,98,4.16,GH,1669857698
kattivakkam,13.2167,80.3167,78.89,89,21,6.71,IN,1669857698
hobart,-42.8794,147.3294,61.05,52,75,10.36,AU,1669857618
ancud,-41.8697,-73.8203,46.22,73,6,5.03,CL,1669857699
riyadh,24.6877,46.7219,62.74,34,100,8.12,SA,1669857495
khatanga,71.9667,102.5,-26.5,95,100,7.45,RU,1669857699
maxixe,-23.8597,35.3472,71.19,84,52,8.95,MZ,1669857700
bandarbeyla,9.4942,50.8122,77.22,82,6,16.53,SO,1669857700
barrow,71.2906,-156.7887,28.42,86,100,6.91,US,1669857700
gorele,41.0308,39.0031,55.29,77,22,3.51,TR,1669857701
pisco,-13.7,-76.2167,66.25,82,0,19.57,PE,1669857596
pelotas,-31.7719,-52.3425,70.29,91,97,10.02,BR,1669857702
mahebourg,-20.4081,57.7,72.25,94,75,3.44,MU,1669857702
tarakan,3.3,117.6333,79.88,81,100,4.16,ID,1669857702
norman wells,65.282,-126.8329,-9.36,77,100,2.3,CA,1669857703
balclutha,-46.2339,169.75,60.13,57,51,9.6,NZ,1669857703
flinders,-34.5833,150.8552,69.26,62,100,8.21,AU,1669857704
bredasdorp,-34.5322,20.0403,62.51,83,92,3.02,ZA,1669857704
larkana,27.5551,68.2141,64.98,22,72,2.01,PK,1669857705
kodiak,57.79,-152.4072,26.11,74,0,4.61,US,1669857705
castro,-24.7911,-50.0119,60.15,98,74,4.45,BR,1669857705
georgetown,5.4112,100.3354,82.33,86,20,9.22,MY,1669857706
bongandanga,1.5,21.05,68.2,99,100,2.01,CD,1669857706
sur,22.5667,59.5289,72.23,57,93,1.16,OM,1669857707
nemuro,43.3236,145.575,29.3,52,43,21.23,JP,1669857707
machico,32.7,-16.7667,69.71,82,75,1.14,PT,1669857707
souillac,-20.5167,57.5167,70.18,94,75,3.44,MU,1669857708
waw,7.7029,27.9953,77.92,52,100,3.78,SS,1669857708
araouane,18.9048,-3.5265,71.82,17,100,11.79,ML,1669857709
kaitangata,-46.2817,169.8464,58.05,65,74,11.63,NZ,1669857709
sinnamary,5.3833,-52.95,76.55,88,62,8.63,GF,1669857710
husavik,66.0449,-17.3389,41.58,89,51,10.87,IS,1669857710
youghal,51.95,-7.8506,51.01,89,100,9.69,IE,1669857710
ketchikan,55.3422,-131.6461,25.27,39,0,12.66,US,1669857497
slave lake,55.2834,-114.769,-4.02,84,100,5.75,CA,1669857711
bay roberts,47.5999,-53.2648,20.95,65,0,6.55,CA,1669857712
mareeba,-17.0,145.4333,77.49,87,100,2.01,AU,1669857712
port-cartier,50.0334,-66.8654,30.74,99,100,16.2,CA,1669857713
bathsheba,13.2167,-59.5167,79.41,78,40,9.22,BB,1669857713
mar del plata,-38.0023,-57.5575,64.09,99,100,12.66,AR,1669857714
rock sound,24.9,-76.2,79.3,74,22,14.25,BS,1669857714
acapulco,16.8634,-99.8901,80.42,78,100,0.0,MX,1669857714
kangaatsiaq,68.3065,-53.4641,17.73,77,100,30.02,GL,1669857715
shimoda,34.6667,138.95,55.76,88,100,13.35,JP,1669857715
dongobesh,-4.0667,35.3833,56.66,90,71,8.1,TZ,1669857716
esperance,-33.8667,121.9,79.03,41,0,14.9,AU,1669857716
east london,-33.0153,27.9116,70.56,90,100,2.51,ZA,1669857716
alofi,-19.0595,-169.9187,85.89,70,40,6.91,NU,1669857717
coihaique,-45.5752,-72.0662,49.95,53,0,4.61,CL,1669857717
mirnyy,62.5353,113.9611,-17.77,75,99,7.0,RU,1669857718
constitucion,-35.3333,-72.4167,54.28,81,0,12.75,CL,1669857657
tuatapere,-46.1333,167.6833,55.54,67,85,11.21,NZ,1669857718
kapoeta,4.7717,33.5903,79.27,46,95,10.76,SS,1669857719
atuona,-9.8,-139.0333,77.95,74,65,12.97,PF,1669857719
chokurdakh,70.6333,147.9167,-0.94,96,100,9.19,RU,1669857719
srednekolymsk,67.45,153.6833,-11.85,98,100,4.21,RU,1669857720
ishigaki,24.3448,124.1572,69.93,94,75,23.02,JP,1669857720
okhotsk,59.3833,143.3,-2.13,98,100,12.68,RU,1669857721
dormidontovka,47.7702,134.9076,-2.36,80,97,17.76,RU,1669857721
new norfolk,-42.7826,147.0587,60.71,34,12,1.45,AU,1669857721
todos santos,23.45,-110.2167,73.65,81,1,6.11,MX,1669857722
saldanha,-33.0117,17.9442,62.65,92,100,7.54,ZA,1669857722
north bend,43.4065,-124.2243,47.86,94,100,9.22,US,1669857723
torbay,47.6666,-52.7314,23.27,86,0,5.75,CA,1669857723
kyra,49.5776,111.9753,-9.29,83,48,5.53,RU,1669857723
cozumel,20.5083,-86.9458,81.07,86,20,5.01,MX,1669857690
bilaspur,22.0833,82.15,59.16,59,12,3.67,IN,1669857724
sorong,-0.8833,131.25,78.67,86,100,6.46,ID,1669857724
effingham,32.3669,-81.3332,62.55,78,49,13.2,US,1669857484
ponta delgada,37.7333,-25.6667,60.49,94,20,3.44,PT,1669857725
mount isa,-20.7333,139.5,89.37,17,0,16.11,AU,1669857573
lere,10.387,8.5726,63.9,31,66,3.78,NG,1669857726
waipawa,-41.4122,175.5153,55.96,65,83,11.34,NZ,1669857726
longyearbyen,78.2186,15.6401,35.44,80,75,8.05,SJ,1669857681
chornukhy,50.2673,32.942,30.29,51,98,12.17,UA,1669857727
saravan,39.7196,45.6483,37.71,96,100,1.54,AM,1669857727
diamantino,-14.4086,-56.4461,70.47,94,100,6.46,BR,1669857728
livingstonia,-10.606,34.1063,64.53,84,98,3.33,MW,1669857678
isangel,-19.55,169.2667,85.37,68,87,10.36,VU,1669857728
te anau,-45.4167,167.7167,61.9,46,15,4.99,NZ,1669857729
tuktoyaktuk,69.4541,-133.0374,1.4,85,75,9.22,CA,1669857729
port alfred,-33.5906,26.891,65.17,94,100,4.83,ZA,1669857729
gribanovskiy,51.4579,41.9764,21.33,50,7,6.2,RU,1669857730
hermanus,-34.4187,19.2345,58.8,83,100,2.17,ZA,1669857730
dalvik,65.9702,-18.5286,48.13,92,100,9.84,IS,1669857731
saint-georges,12.0564,-61.7485,76.24,83,5,9.08,GD,1669857685
vostok,46.4856,135.8833,-5.08,90,100,12.57,RU,1669857731
kampot,10.6167,104.1833,80.65,81,100,3.27,KH,1669857732
gamba,-2.65,10.0,75.09,91,100,4.74,GA,1669857732
tiksi,71.6872,128.8694,-11.99,99,100,14.88,RU,1669857732
kruisfontein,-34.0033,24.7314,62.89,86,11,1.39,ZA,1669857733
acarau,-2.8856,-40.12,79.3,75,92,13.13,BR,1669857733
kuching,1.55,110.3333,84.02,85,20,3.0,MY,1669857734
mitsamiouli,-11.3847,43.2844,77.97,75,35,4.18,KM,1669857734
vestmanna,62.1564,-7.1664,47.32,100,100,23.02,FO,1669857735
naerbo,58.6667,5.65,41.61,80,13,10.63,NO,1669857735
matagami,49.7502,-77.6328,30.31,80,100,8.05,CA,1669857455
kavaratti,10.5669,72.642,81.57,71,100,3.38,IN,1669857559
port hardy,50.6996,-127.4199,32.18,69,40,14.97,CA,1669857736
provideniya,64.3833,-173.3,28.51,74,0,2.24,RU,1669857737
port lincoln,-34.7333,135.8667,64.17,65,4,11.97,AU,1669857737
gutad,14.9274,120.4894,84.11,72,47,14.9,PH,1669857737
port-gentil,-0.7193,8.7815,78.64,84,100,10.6,GA,1669857738
rio tercero,-32.173,-64.1141,68.79,65,0,4.83,AR,1669857738
amparafaravola,-17.5833,48.2167,67.3,90,99,1.86,MG,1669857671
tasiilaq,65.6145,-37.6368,37.56,93,100,18.99,GL,1669857739
guaruja,-23.9931,-46.2564,75.88,26,69,9.86,BR,1669857701
katsuura,35.1333,140.3,56.44,83,100,17.2,JP,1669857740
port hedland,-20.3167,118.5667,91.45,58,8,10.36,AU,1669857740
cajamarca,-7.1638,-78.5003,53.02,88,98,5.55,PE,1669857741
clarence town,-32.5833,151.7833,71.15,56,100,8.28,AU,1669857741
saint george,37.1041,-113.5841,50.95,31,0,7.0,US,1669857653
butaritari,3.0707,172.7902,81.54,76,48,12.46,KI,1669857742
izhma,65.0083,53.9113,-7.46,100,100,3.56,RU,1669857743
tupik,54.4253,119.9327,-31.07,95,75,1.66,RU,1669857743
marsa matruh,31.3525,27.2453,61.93,59,0,9.57,EG,1669857743
betong,5.7743,101.0723,73.58,91,100,2.28,TH,1669857744
lorengau,-2.0226,147.2712,84.36,71,100,6.04,PG,1669857744
navalmoral de la mata,39.8916,-5.5406,48.96,83,100,2.91,ES,1669857745
katherine,-14.4667,132.2667,89.92,31,100,10.36,AU,1669857745
pierre,44.3683,-100.351,21.85,62,0,10.0,US,1669857724
crucea,44.5333,28.2333,32.09,69,100,12.46,RO,1669857746
burgeo,47.6167,-57.6152,30.33,78,99,10.65,CA,1669857747
sakaiminato,35.55,133.2333,46.38,76,75,11.5,JP,1669857747
innisfail,-17.5333,146.0333,75.78,87,100,1.28,AU,1669857747
aswan,24.0934,32.907,64.53,46,34,7.96,EG,1669857748
tevaitoa,-16.7833,-151.5,80.19,78,15,14.81,PF,1669857748
college,64.8569,-147.8028,3.58,81,100,0.0,US,1669857749
tougan,13.0667,-3.0667,72.99,17,16,7.99,BF,1669857749
kununurra,-15.7667,128.7333,93.18,31,96,5.75,AU,1669857750
dali,25.7,100.1833,50.41,82,3,3.18,CN,1669857750
tual,-5.6667,132.75,82.63,73,100,18.34,ID,1669857750
mbaiki,3.8678,17.9892,68.23,98,100,1.61,CF,1669857751
belmonte,-15.8631,-38.8828,76.75,89,100,7.34,BR,1669857751
champerico,14.3,-91.9167,80.01,79,50,5.26,GT,1669857752
thompson,55.7435,-97.8558,-18.24,76,0,9.22,CA,1669857674
baracoa,20.3467,-74.4958,78.6,79,45,13.56,CU,1669857752
marovoay,-16.1,46.6333,77.43,82,75,1.97,MG,1669857753
dingle,10.9995,122.6711,80.64,83,86,12.28,PH,1669857753
hofn,64.2539,-15.2082,47.3,96,100,14.03,IS,1669857754
belaya gora,68.5333,146.4167,-15.48,99,100,2.48,RU,1669857754
pandan,14.0453,124.1694,81.21,85,100,16.62,PH,1669857754
sitka,57.0531,-135.33,26.49,33,0,3.44,US,1669857755
worland,44.0169,-107.9554,32.58,84,0,3.44,US,1669857558
fortuna,40.5982,-124.1573,49.93,92,75,16.11,US,1669857755
kabanjahe,3.1001,98.4908,66.7,91,100,1.66,ID,1669857756
kalispell,48.1958,-114.3129,25.48,91,100,0.0,US,1669857756
teberda,43.4456,41.7448,41.05,49,8,3.67,RU,1669857757
portland,45.5234,-122.6762,43.61,94,100,7.0,US,1669857611
nome,64.5011,-165.4064,28.47,86,0,25.32,US,1669857757
san cristobal,7.7669,-72.225,68.18,96,66,4.41,VE,1669857758
northam,51.0333,-4.2167,38.25,85,18,4.03,GB,1669857758
weligama,5.9667,80.4167,75.56,88,100,2.89,LK,1669857758
korla,41.7597,86.1469,13.69,22,0,4.74,CN,1669857750
suraabad,40.8192,49.4687,40.51,96,100,8.7,AZ,1669857759
paulo afonso,-9.4061,-38.2147,76.95,71,94,1.48,BR,1669857759
ukiah,39.1502,-123.2078,51.69,69,100,6.91,US,1669857561
puerto ayora,-0.7393,-90.3518,69.55,90,58,8.99,EC,1669857711
jumla,29.2747,82.1838,39.92,18,0,5.75,NP,1669857760
batagay-alyta,67.8006,130.4114,-11.92,97,100,7.65,RU,1669857761
saskylakh,71.9167,114.0833,-27.15,99,100,8.7,RU,1669857761
hammerfest,70.6634,23.6821,32.45,86,40,0.0,NO,1669857762
marica,-22.9194,-42.8186,76.91,93,100,13.27,BR,1669857762
poso,-1.3959,120.7524,83.93,67,97,1.05,ID,1669857763
fairbanks,64.8378,-147.7164,3.6,81,100,0.0,US,1669857696
geraldton,-28.7667,114.6,72.01,60,100,11.5,AU,1669857568
murgab,37.4966,61.9714,40.87,75,100,9.22,TM,1669857763
swan river,52.1058,-101.2676,-2.31,84,100,9.22,CA,1669857764
tindivanam,12.25,79.65,71.96,94,26,5.91,IN,1669857764
odweyne,9.4092,45.064,63.91,48,5,4.94,SO,1669857765
cherskiy,68.75,161.3,8.96,95,100,6.26,RU,1669857765
chake chake,-5.2459,39.7666,74.77,90,82,6.2,TZ,1669857765
bereda,43.2686,-7.5406,44.42,100,71,5.08,ES,1669857766
bulgan,48.8125,103.5347,-10.97,88,2,3.49,MN,1669857766
saint-philippe,-21.3585,55.7679,72.99,78,40,7.78,RE,1669857605
fougamou,-1.2154,10.5838,72.55,99,100,2.08,GA,1669857767
inhambane,-23.865,35.3833,72.36,82,63,10.74,MZ,1669857767
clyde river,70.4692,-68.5914,-28.97,62,0,2.3,CA,1669857768
kailua,21.4022,-157.7394,85.41,73,69,1.99,US,1669857768
melo,-32.3667,-54.1833,71.19,81,56,14.58,UY,1669857768
leningradskiy,69.3833,178.4167,11.91,90,100,8.16,RU,1669857769
hirara,24.8,125.2833,70.07,94,75,19.57,JP,1669857769
stokmarknes,68.5646,14.9108,39.18,75,100,3.44,NO,1669857770
camocim,-2.9022,-40.8411,79.38,77,82,11.74,BR,1669857770
namatanai,-3.6667,152.4333,86.41,63,77,4.81,PG,1669857528
consett,54.854,-1.8316,36.36,89,98,2.89,GB,1669857771
luderitz,-26.6481,15.1594,63.64,73,2,10.09,NA,1669857771
progreso,21.2833,-89.6667,77.11,82,6,15.48,MX,1669857626
egvekinot,66.3167,-179.1667,11.16,92,100,0.69,RU,1669857772
nanning,22.8167,108.3167,46.85,74,100,8.88,CN,1669857772
alquizar,22.8058,-82.5842,79.29,91,57,10.54,CU,1669857772
flin flon,54.7682,-101.865,-13.94,97,100,4.56,CA,1669857773
vila velha,-20.3297,-40.2925,76.95,94,100,6.91,BR,1669857773
kasulu,-4.5767,30.1025,62.08,89,100,2.26,TZ,1669857774
aquiraz,-3.9014,-38.3911,80.69,75,22,10.38,BR,1669857774
touros,-5.1989,-35.4608,78.71,70,98,10.96,BR,1669857736
chuy,-33.6971,-53.4616,69.1,91,32,13.73,UY,1669857775
paita,-5.0892,-81.1144,67.32,84,93,10.25,PE,1669857775
cody,44.5263,-109.0565,21.4,73,0,0.0,US,1669857681
saint anthony,45.0205,-93.218,16.25,73,0,11.5,US,1669857776
margate,51.3813,1.3862,48.69,84,55,3.0,GB,1669857776
tocopilla,-22.092,-70.1979,66.63,69,1,10.51,CL,1669857776
pevek,69.7008,170.3133,8.06,89,100,5.53,RU,1669857777
robertsport,6.7533,-11.3686,79.9,79,100,7.11,LR,1669857777
fomboni,-12.28,43.7425,78.91,68,4,3.67,KM,1669857778
verkhnevilyuysk,63.4453,120.3167,-28.39,97,100,4.97,RU,1669857778
salalah,17.0151,54.0924,73.49,68,0,4.61,OM,1669857779
naples,40.8333,14.25,53.65,71,40,7.0,IT,1669857682
kuusamo,65.9667,29.1833,24.84,93,100,4.61,FI,1669857779
mildura,-34.2,142.15,72.07,49,71,13.65,AU,1669857780
bubaque,11.2833,-15.8333,81.82,67,20,15.32,GW,1669857780
senanga,-16.1167,23.2667,69.46,67,49,5.01,ZM,1669857780
cidreira,-30.1811,-50.2056,69.98,95,100,11.9,BR,1669857781
puerto del rosario,28.5004,-13.8627,64.15,72,20,8.05,ES,1669857781
upernavik,72.7868,-56.1549,7.57,91,100,19.91,GL,1669857782
carnarvon,-24.8667,113.6333,73.53,66,9,8.68,AU,1669857589
valle de allende,26.9333,-105.4,62.42,29,0,12.77,MX,1669857782
chapais,49.7834,-74.8492,28.18,98,100,12.62,CA,1669857783
saint simons,31.1352,-81.3901,66.24,91,75,5.75,US,1669857783
casablanca,33.5928,-7.6192,51.82,76,100,5.39,MA,1669857750
alice springs,-23.7,133.8833,81.95,17,0,11.5,AU,1669857784
victoria,22.2855,114.1577,61.32,74,100,11.99,HK,1669857534
minggang,32.4586,114.0486,31.89,32,100,5.08,CN,1669857784
palu,-0.8917,119.8707,84.42,66,100,1.72,ID,1669857785
muros,42.7762,-9.0603,47.84,91,6,6.6,ES,1669857785
glenwood springs,39.5505,-107.3248,34.83,62,0,23.02,US,1669857786
ahipara,-35.1667,173.1667,63.37,65,99,15.43,NZ,1669857744
broome,42.2506,-75.833,36.91,68,100,17.27,US,1669857786
celestun,20.8667,-90.4,78.46,84,24,15.9,MX,1669857787
labuhan,-6.8844,112.2051,81.12,72,24,13.29,ID,1669857787
airai,-8.9266,125.4092,69.85,73,97,2.01,TL,1669857787
whitehorse,60.7161,-135.0538,-12.23,84,40,13.8,CA,1669857788
hami,42.8,93.45,10.22,22,56,1.32,CN,1669857788
kushima,31.4583,131.2333,53.11,56,86,4.0,JP,1669857789
vao,-22.6667,167.4833,79.11,80,16,6.44,NC,1669857789
lavrentiya,65.5833,-171.0,20.1,91,90,6.98,RU,1669857790
lazarev,52.225,141.5131,-4.04,77,100,9.75,RU,1669857790
skibbereen,51.55,-9.2667,54.1,95,100,11.21,IE,1669857790
beira,-19.8436,34.8389,69.89,88,40,7.94,MZ,1669857791
vestmannaeyjar,63.4427,-20.2734,45.7,74,99,26.6,IS,1669857791
yueyang,29.3333,113.0919,29.97,85,100,11.12,CN,1669857792
chabahar,25.2919,60.643,74.86,41,39,2.48,IR,1669857792
panzos,15.4,-89.6667,74.07,84,99,0.92,GT,1669857792
pemangkat,1.1667,108.9667,78.82,82,100,3.96,ID,1669857793
bethel,41.3712,-73.414,52.11,64,100,11.5,US,1669857793
oussouye,12.485,-16.5469,75.11,59,57,6.6,SN,1669857794
kavieng,-2.5744,150.7967,84.79,66,100,2.91,PG,1669857794
lompoc,34.6391,-120.4579,56.79,83,100,6.91,US,1669857794
belleville,44.1788,-77.3705,35.85,71,100,18.41,CA,1669857795
yulara,-25.2406,130.9889,83.41,15,0,9.78,AU,1669857795
cabedelo,-6.9811,-34.8339,79.47,75,97,9.6,BR,1669857796
kumluca,36.3703,30.2869,60.4,80,100,2.17,TR,1669857796
williston,48.147,-103.618,13.8,73,100,5.99,US,1669857610
talnakh,69.4865,88.3972,-3.28,99,97,5.03,RU,1669857797
llangefni,53.2556,-4.3106,48.06,84,100,14.97,GB,1669857797
cabo san lucas,22.8909,-109.9124,75.51,68,0,4.61,MX,1669857798
zhicheng,30.2956,111.5047,33.22,72,100,3.76,CN,1669857798
uva,56.9908,52.1852,15.48,96,100,4.97,RU,1669857799
hualmay,-11.0964,-77.6139,67.1,84,88,7.67,PE,1669857799
mutoko,-17.397,32.2268,56.75,74,0,3.13,ZW,1669857799
itaguacu,-19.8019,-40.8556,74.17,95,100,3.11,BR,1669857800
bingerville,5.3584,-3.8869,77.94,89,20,2.3,CI,1669857800
manokwari,-0.8667,134.0833,80.8,77,99,1.72,ID,1669857801
jardim,-21.4803,-56.1381,75.54,56,13,3.38,BR,1669857801
walvis bay,-22.9575,14.5053,61.09,94,52,9.22,NA,1669857801
wahiawa,21.5028,-158.0236,82.15,61,40,6.91,US,1669857802
abu dhabi,24.4667,54.3667,73.42,78,100,1.14,AE,1669857739
bayshore gardens,27.4253,-82.5904,73.98,70,0,4.61,US,1669857802
lebu,-37.6167,-73.65,53.17,75,0,21.3,CL,1669857803
edd,13.9297,41.6925,80.51,44,0,13.6,ER,1669857803
pingzhuang,42.0372,119.2889,10.92,31,0,8.55,CN,1669857804
sucre,-19.0333,-65.2627,55.49,63,91,2.68,BO,1669857804
williams lake,52.1415,-122.1445,0.05,79,75,8.05,CA,1669857805
quibdo,5.6947,-76.6611,72.9,98,100,1.88,CO,1669857805
xinyu,27.8043,114.9334,34.14,84,100,7.0,CN,1669857540
oranjestad,12.524,-70.027,80.55,77,20,10.36,AW,1669857670
bilibino,68.0546,166.4372,8.24,93,100,5.46,RU,1669857806
acandi,8.5063,-77.2778,74.82,94,88,4.25,CO,1669857806
san patricio,28.017,-97.5169,60.84,55,0,11.65,US,1669857807
bonavista,48.6499,-53.1147,28.09,71,4,10.0,CA,1669857807
kawalu,-7.3817,108.2082,75.69,84,100,2.1,ID,1669857807
angouleme,45.65,0.15,41.95,89,0,6.91,FR,1669857808
ostrovnoy,68.0531,39.5131,23.56,89,100,6.76,RU,1669857808
verkhnyaya toyma,62.2349,44.9985,16.77,87,98,2.59,RU,1669857809
iskateley,67.6803,53.1512,4.64,96,12,9.35,RU,1669857809
hasaki,35.7333,140.8333,50.4,74,100,18.1,JP,1669857810
maniitsoq,65.4167,-52.9,19.65,73,90,33.46,GL,1669857810
noumea,-22.2763,166.4572,93.18,78,39,8.86,NC,1669857810
abu kamal,34.4506,40.9171,57.52,78,7,6.08,SY,1669857811
brae,60.3964,-1.353,48.22,83,100,23.38,GB,1669857811
cuamba,-14.8031,36.5372,66.43,95,100,1.23,MZ,1669857812
paciran,-6.8767,112.3761,80.91,73,39,12.55,ID,1669857812
huarmey,-10.0681,-78.1522,68.02,80,82,7.45,PE,1669857813
maunabo,18.0072,-65.8993,80.42,87,0,9.66,PR,1669857813
sao gabriel da cachoeira,-0.1303,-67.0892,74.1,98,96,2.62,BR,1669857813
bairiki,1.3292,172.9752,87.8,70,40,8.05,KI,1669857814
rovaniemi,66.5,25.7167,26.01,100,100,2.3,FI,1669857814
turukhansk,65.8167,87.9833,5.74,94,100,14.05,RU,1669857815
mayumba,-3.432,10.6554,76.46,88,99,5.17,GA,1669857815
mayo,38.8876,-76.5119,49.95,40,0,13.8,US,1669857815
boa vista,2.8197,-60.6733,80.58,74,0,9.22,BR,1669857816
tazovskiy,67.4667,78.7,-4.04,99,100,8.05,RU,1669857816
mackenzie,55.2999,-123.1698,-7.38,49,0,10.36,CA,1669857817
pangnirtung,66.1451,-65.7125,-20.49,83,6,4.5,CA,1669857817
santiago del estero,-27.7951,-64.2615,74.03,68,91,7.43,AR,1669857817
guerrero negro,27.9769,-114.0611,60.44,72,19,12.24,MX,1669857818
kenai,60.5544,-151.2583,13.14,88,100,3.44,US,1669857818
sun valley,39.5963,-119.776,46.33,46,20,14.97,US,1669857819
teya,60.3778,92.6267,1.9,96,100,7.83,RU,1669857819
san andres,12.5847,-81.7006,82.42,74,20,13.8,CO,1669857820
antofagasta,-23.65,-70.4,63.68,81,11,5.75,CL,1669857745
lata,40.1629,-8.3327,51.08,93,100,4.12,PT,1669857820
harper,4.375,-7.7169,77.11,87,100,3.96,LR,1669857821
pokhara,28.2333,83.9833,57.49,33,0,5.1,NP,1669857821
vadso,70.0744,29.7487,33.96,80,100,14.97,NO,1669857822
stanislav,46.5691,32.1478,36.66,72,100,16.87,UA,1669857822
male,4.1748,73.5089,82.35,78,100,2.3,MV,1669857822
cairns,-16.9167,145.7667,82.11,81,75,3.44,AU,1669857823
rawson,-43.3002,-65.1023,59.83,55,0,19.93,AR,1669857823
bagotville,-28.9833,153.4167,60.85,99,100,13.02,AU,1669857824
dunedin,-45.8742,170.5036,58.8,70,99,1.99,NZ,1669857824
isiolo,0.3546,37.5822,66.88,71,81,3.27,KE,1669857825
karratha,-20.7377,116.8463,89.74,34,1,8.95,AU,1669857825
ixtapa,20.7,-105.2,76.23,88,40,1.01,MX,1669857825
necochea,-38.5473,-58.7368,57.96,87,100,14.29,AR,1669857826
jibuti,11.5,42.5,67.75,81,9,8.75,DJ,1669857826
azangaro,-14.9167,-70.2167,46.62,29,0,5.73,PE,1669857827
iquitos,-3.7481,-73.2472,82.44,78,0,5.75,PE,1669857809
samarai,-10.6167,150.6667,85.57,70,100,5.79,PG,1669857827
los algarrobos,8.5,-82.4333,75.61,94,40,3.44,PA,1669857828
yerbogachen,61.2767,108.0108,-8.09,97,100,6.26,RU,1669857828
san quintin,30.4833,-115.95,57.85,72,0,10.71,MX,1669857829
suksun,57.1431,57.3949,8.35,97,100,1.05,RU,1669857829
ushirombo,-3.4919,31.9639,64.04,98,100,5.5,TZ,1669857829
hailey,43.5196,-114.3153,25.99,87,100,4.61,US,1669857830
ubatuba,-23.4339,-45.0711,72.66,94,82,2.68,BR,1669857830
ryotsu,38.0833,138.4333,40.42,92,100,6.71,JP,1669857831
wang saphung,17.301,101.7685,79.75,89,75,0.0,TH,1669857831
seydisehir,37.4193,31.8453,46.69,89,87,3.27,TR,1669857832
wanaka,-44.7,169.15,64.11,50,70,7.0,NZ,1669857832
rypefjord,70.6333,23.6667,32.47,86,40,0.0,NO,1669857832
ixhuatan,16.3569,-94.4825,80.4,73,5,8.05,MX,1669857833
hatillo,18.4863,-66.8254,79.79,85,0,11.56,PR,1669857833
springbok,-29.6643,17.8865,62.1,48,1,2.93,ZA,1669857834
